"","file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id"
"188","M_F2_27x113_3",80.8236603773585,11.6743648450905,3411.16981132076,1365.79292190751,247.786233962264,67.4276858276815,96.8368754716981,25.9299477837508,43.1702490566038,9.63533866211775,2.25722641509434,0.493098548486602,-0.13,0.77,7.88888888888889,53,7998.34,7998,1013.87,13804.89,1749.92,1104.98,17.93,174.68,483.16,2543.34,32.28,"M_F2_27x113_3-130"
"189","M_F2_27x113_3",94.2015964912281,10.0004970641814,3208.62315789474,2255.83117051847,228.128021052632,98.2903915040506,88.2528631578947,34.3260521981932,42.5569263157895,14.0454210682257,2.12226315789474,0.7172559447126,0.06,0.98,9.44444444444444,57,2804.43,798,84.49,15962.12,1690.11,1767.47,19.16,305.57,666.25,2863.47,172.42,"M_F2_27x113_3-133"
"190","M_F2_27x113_3",86.2408045977012,8.7917507646592,3955.03448275862,1264.23888456768,272.658662068966,61.1620258883848,104.701531034483,23.4863750400461,47.1592551724138,8.79350605383206,2.25449425287356,0.49422104257111,0.01,0.96,13.1111111111111,87,5321.71,5224,398.42,18963.61,1446.38,1259.24,30.63,190.74,567.68,2680.75,55.14,"M_F2_27x113_3-14"
"191","M_F2_27x113_3",83.4651730769231,11.6100342177827,4921.31076923077,1403.68395635374,307.067261538462,54.0215532349754,120.4686,21.354627045981,51.1263692307693,9.07734594910974,2.38390384615385,0.392773958823666,-0.02,0.49,6.55555555555556,52,7484.38,7484,1141.68,11707.55,1785.9,857.76,75.97,118.16,314.42,2760.51,341.87,"M_F2_27x113_3-16"
"192","M_F2_27x113_3",76.8489076923077,5.97976321574242,3344.87630769231,1320.45348970956,252.785963076923,68.6724169060156,95.8804061538462,22.2014690628224,43.2448615384615,10.998960978254,2.28826153846154,0.562547783440523,0.18,0.81,8.66666666666667,65,4182.57,267,30.83,15758.81,1818.32,1000.11,96.19,148.2,408.42,2450.35,432.86,"M_F2_27x113_3-23"
"193","M_F2_27x113_3",75.8223846153846,16.3590774440939,3086.47384615385,2129.63151824394,232.062923076923,92.5841230898759,90.2628,33.1787043812903,40.1699076923077,14.7469271154042,2.33466666666667,0.768058705724111,-0.08,1.24,8.11111111111111,39,7471.8,7472,921.18,15669.07,1931.8,1992.66,81.42,430.92,483.06,2799.55,732.82,"M_F2_27x113_3-52"
"194","M_F2_27x113_3",95.4869591836735,8.51186441816946,4037.17224489796,1891.10582320158,266.767053061224,82.8163515483383,99.5482285714286,30.8180743197884,49.9147346938776,13.0456534136462,2.03614285714286,0.608661133143887,-0.01,0.91,6.55555555555556,49,3180.68,3181,485.19,7185.78,1096.14,286.38,25.43,66.11,586.29,2256.67,228.89,"M_F2_27x113_3-54"
"195","M_F2_27x113_3",89.1501230769231,15.8137683903415,3280.27569230769,1363.91324753672,243.676246153846,68.3889019700818,96.0842769230769,26.9089456948728,42.0895938461539,10.8022771917527,2.35484615384615,0.68881787847844,-0.08,0.87,10.3333333333333,65,5875.44,5875,568.59,17796.59,1722.25,2526.6,20.44,369.8,601.16,2526.6,147.78,"M_F2_27x113_3-56"
"196","M_F2_27x113_3",88.9030733944954,14.3175028488873,3413.59266055046,1322.55281129774,249.727310091743,65.613904705947,96.1306018348624,24.2792832126562,43.756943119266,9.42009019450772,2.22080733944954,0.481169071638223,-0.07,0.94,17.3333333333333,109,7692.12,7113,410.34,27039.52,1559.97,1228.39,14.42,203.19,661.64,2469.48,129.82,"M_F2_27x113_3-87"
"197","M_F2_27x113_3",89.4500066666667,16.6408011751728,3561.408,1416.19571465104,259.41348,70.0267028712859,103.644504,29.0678861165124,42.601608,10.0704084940208,2.51695333333333,0.83171834204385,0.07,0.77,18.8888888888889,150,8919.96,8053,426.34,31719.79,1679.28,1170.89,18.37,115.85,506.69,2634.51,165.29,"M_F2_27x113_3-9"
